code,time_sch,dest,time_act,commercial,orig
7L 1148,00:00,Baku,Dep 00:06,0,HKG
CX 261,00:05,Paris,Dep 00:16,1,HKG
QR 8411,00:05,Doha,Dep 00:19,0,HKG
CX 2083,00:05,HKG,At gate 00:45,0,"Portland
Anchorage"
MU 725,00:15,HKG,At gate 00:04,1,Shanghai/PVG
CX 289,00:15,Frankfurt,Dep 00:18,1,HKG
CX 880,00:15,Los Angeles,Dep 00:18,1,HKG
LD 681,00:20,HKG,At gate 00:32,0,Taipei
HX 313,00:20,HKG,At gate 00:19,1,Beijing/PEK
KZ 203,00:25,HKG,At gate 00:42,0,Tokyo/NRT
LD 392,00:25,HKG,At gate 00:04,0,Penang
CX 105,00:25,Melbourne,Dep 00:34,1,HKG
7C 2107,00:30,HKG,At gate 01:09,1,Seoul/ICN
QR 815,00:30,Doha,Dep 00:28,1,HKG
UO 651,00:30,HKG,At gate 00:31,1,Tokyo/NRT
OZ 746,00:30,Seoul/ICN,Dep 00:30,1,HKG
EK 381,00:35,Dubai,Dep 00:37,1,HKG
HB 262,00:40,HKG,At gate 00:10,1,Ho Chi Minh
NH 8511,00:40,HKG,At gate 00:23,0,Tokyo/NRT
CX 383,00:40,Zurich,Dep 01:20,1,HKG
KE 179,00:40,HKG,At gate 01:34,1,Seoul/ICN
LD 456,00:45,HKG,At gate 01:02,0,"Cebu
Manila"
LD 129,00:45,HKG,At gate 01:45,0,Seoul/ICN
MM 067,00:45,HKG,At gate 00:59,1,Osaka/Kansai
KE 178,00:55,Seoul/ICN,Dep 01:20,1,HKG
UO 627,00:55,HKG,At gate 02:01,1,Seoul/ICN
CX 872,00:55,San Francisco,Dep 00:55,1,HKG
CX 097,00:55,HKG,At gate 00:45,0,"Felipe Angeles
Guadalajara
Anchorage"
CI 5835,01:00,HKG,At gate 03:11,0,Taipei
BR 6090,01:00,Taipei,Dep 01:21,0,HKG
LD 205,01:00,HKG,At gate 01:10,0,Osaka/Kansai
CX 888,01:00,Vancouver,Dep 01:11,1,HKG
ES 728,01:10,Bahrain,Dep 01:15,0,HKG
LD 769,01:10,HKG,At gate 01:40,0,Beijing/PEK
LD 217,01:15,HKG,At gate 01:09,0,Nagoya
CX 006,01:15,Tokyo/NRT,Dep 01:27,0,HKG
CX 035,01:15,HKG,At gate 02:19,0,"Osaka/Kansai
Seoul/ICN"
8K 525,01:20,HKG,At gate 01:30,0,"Bangkok
Hanoi"
LD 562,01:20,HKG,At gate 01:36,0,Ho Chi Minh
KE 313,01:20,HKG,At gate 01:47,0,Seoul/ICN
LD 326,01:25,HKG,At gate 01:29,0,Singapore
LD 842,01:25,HKG,At gate 01:27,0,Bangkok
BR 6537,01:25,HKG,At gate 02:36,0,Taipei
HX 611,01:25,HKG,At gate 01:49,1,Tokyo/NRT
CX 524,01:25,Tokyo/NRT,Dep 11:18,1,HKG
LD 783,01:25,HKG,At gate 01:33,0,Shanghai/PVG
TH 3507,01:30,HKG,At gate 01:16,0,Subang
7C 2108,01:30,Seoul/ICN,Dep 02:25,1,HKG
TW 117,01:30,HKG,At gate 02:24,1,Seoul/ICN
LD 209,01:30,HKG,At gate 01:35,0,Tokyo/NRT
MM 068,01:35,Osaka/Kansai,Dep 02:00,1,HKG
GH 1186,01:40,HKG,At gate 01:00,0,Namangan
CX 048,01:40,HKG,At gate 01:36,0,"Dhaka
Hanoi"
CX 566,01:50,Osaka/Kansai,Dep 01:53,1,HKG
HX 707,01:55,Denpasar,Dep 02:03,1,HKG
RH 829,02:00,Shanghai/PVG,Dep 14:45,0,HKG
RH 318,02:00,HKG,At gate 13:22,0,Hanoi
HX 285,02:00,HKG,At gate 01:41,1,Taipei
KE 180,02:05,Seoul/ICN,Dep 02:50,1,HKG
5Y 8766,02:10,HKG,At gate 03:28 (21/12/2023),0,"Los Angeles
Seoul/ICN"
QR 8066,02:15,HKG,At gate 02:42,0,Doha
HX 606,02:20,Tokyo/NRT,Dep 02:13,1,HKG
EK 9823,02:25,Dubai/DWC,Dep 02:10,0,HKG
TW 118,02:30,Seoul/ICN,Dep 03:25,1,HKG
CX 2090,02:30,"Los Angeles
Anchorage
Dallas FT.Worth",Dep 02:52,0,HKG
7L 571,02:30,HKG,At gate 01:54,0,"Baku
Almaty"
OZ 969,02:35,HKG,At gate 05:27,0,Seoul/ICN
HX 637,02:35,HKG,At gate 02:26,1,Osaka/Kansai
5X 004,02:40,HKG,At gate 02:46,0,"Philadelphia
Cologne
London/STN"
CX 2022,02:40,HKG,At gate 03:37,0,"Sydney
Melbourne"
NH 8512,02:40,Tokyo/NRT,Dep 02:45,0,HKG
KZ 202,02:45,Tokyo/NRT,Dep 03:04,0,HKG
WW 865,02:50,HKG,At gate 02:28,0,Kuching
HX 602,02:50,Osaka/Kansai,Dep 02:40,1,HKG
ES 725,02:55,HKG,At gate 02:47,0,Bahrain
QY 548,02:55,HKG,At gate 03:16,0,"Leipzig
Delhi"
CI 5836,03:00,Taipei,Dep 04:54,0,HKG
RH 570,03:00,Taipei,Dep 03:07,0,HKG
LD 327,03:20,Singapore,Dep 03:51,0,HKG
