code,time_sch,dest,time_act,commercial,orig
CX 261,00:05,Paris,Dep 00:12,1,HKG
RH 358,00:05,"Almaty
Milan/MXP",Dep 14:00,0,HKG
RH 351,00:10,Manila,Dep 00:29,0,HKG
CX 289,00:15,Frankfurt,Dep 00:13,1,HKG
MU 725,00:15,HKG,At gate 00:03,1,Shanghai/PVG
CX 880,00:15,Los Angeles,Dep 00:20,1,HKG
LD 681,00:20,HKG,At gate 00:33,0,Taipei
HX 313,00:20,HKG,At gate 00:04,1,Beijing/PEK
CX 315,00:20,Madrid,Dep 00:35,1,HKG
KZ 203,00:25,HKG,At gate 00:30,0,Tokyo/NRT
LD 392,00:25,HKG,At gate 00:11,0,Penang
CX 105,00:25,Melbourne,Dep 00:28,1,HKG
UO 651,00:30,HKG,At gate 00:51,1,Tokyo/NRT
OZ 746,00:30,Seoul/ICN,Dep 00:27,1,HKG
UO 863,00:30,HKG,At gate 00:18,1,Osaka/Kansai
7C 2107,00:30,HKG,At gate 00:45,1,Seoul/ICN
CX 749,00:30,Johannesburg,Dep 01:04,1,HKG
QR 815,00:30,Doha,Dep 00:37,1,HKG
7L 923,00:30,Baku,Dep 02:10,0,HKG
EK 381,00:35,Dubai,Dep 00:44,1,HKG
KE 179,00:40,HKG,At gate 00:44,1,Seoul/ICN
CX 2023,00:40,Sydney,Dep 00:41,0,HKG
MM 067,00:45,HKG,At gate 00:46,1,Osaka/Kansai
LD 129,00:45,HKG,At gate 00:49,0,Seoul/ICN
LD 456,00:45,HKG,At gate 01:15,0,"Cebu
Manila"
CX 097D,00:55,HKG,At gate 21:12,0,"Felipe Angeles
Guadalajara
Anchorage"
CX 872,00:55,San Francisco,Dep 01:05,1,HKG
UO 627,00:55,HKG,At gate 00:51,1,Seoul/ICN
KE 178,00:55,Seoul/ICN,Dep 00:51,1,HKG
FX 9748,01:00,Anchorage,Dep 05:14,0,HKG
CI 5835,01:00,HKG,At gate 04:50,0,Taipei
LD 205,01:00,HKG,At gate 00:53,0,Osaka/Kansai
7C 2185,01:05,HKG,At gate 01:06,1,Jeju
NH 8511,01:10,HKG,At gate 00:59,0,Tokyo/NRT
ES 726,01:10,Bahrain,Dep 01:12,0,HKG
LD 769,01:10,HKG,At gate 01:36,0,Beijing/PEK
LD 217,01:15,HKG,At gate 01:02,0,Nagoya
CX 2081,01:15,HKG,At gate 02:37,0,"Los Angeles
Anchorage"
CX 006,01:15,Tokyo/NRT,Dep 01:21,0,HKG
UO 693,01:15,HKG,At gate 01:44,1,Tokyo/NRT
LD 562,01:20,HKG,At gate 01:25,0,"Penang
Ho Chi Minh"
KE 313,01:20,HKG,At gate 01:28,0,Seoul/ICN
8K 528,01:20,HKG,At gate 01:15,0,"Bangkok
Hanoi"
CX 524,01:25,Tokyo/NRT,Dep 01:24,1,HKG
HX 611,01:25,HKG,At gate 02:02,1,Tokyo/NRT
LD 326,01:25,HKG,At gate 01:31,0,Singapore
LD 842,01:25,HKG,At gate 01:12,0,Bangkok
LD 783,01:25,HKG,At gate 01:41,0,Shanghai/PVG
