code,time_sch,dest,time_act,commercial,orig,pass_load
CX 566,2023-12-21 01:50:00,Osaka/Kansai,2023-12-21 02:03:00,1,HKG,300
HX 707,2023-12-21 01:55:00,Denpasar,2023-12-21 02:09:00,1,HKG,350
3S 520,2023-12-21 02:00:00,HKG,2023-12-21 01:05:00,0,"Leipzig
Bahrain",313
CX 3248,2023-12-21 02:00:00,HKG,2023-12-21 02:03:00,0,Hanoi,261
RH 318,2023-12-21 02:00:00,HKG,2023-12-22 03:19:00,0,Hanoi,388
HX 285,2023-12-21 02:00:00,HKG,2023-12-21 01:54:00,1,Taipei,240
KE 180,2023-12-21 02:05:00,Seoul/ICN,2023-12-21 02:23:00,1,HKG,225
HX 606,2023-12-21 02:20:00,Tokyo/NRT,2023-12-21 02:25:00,1,HKG,323
7C 2186,2023-12-21 02:25:00,Jeju,2023-12-21 03:15:00,1,HKG,334
TW 118,2023-12-21 02:30:00,Seoul/ICN,2023-12-21 04:01:00,1,HKG,180
OZ 967,2023-12-21 02:35:00,HKG,2023-12-21 04:41:00,0,Seoul/ICN,299
HX 637,2023-12-21 02:35:00,HKG,2023-12-21 03:51:00,1,Osaka/Kansai,272
5X 004,2023-12-21 02:40:00,HKG,2023-12-21 02:50:00,0,"Philadelphia
Cologne
London/STN",323
NH 8512,2023-12-21 02:40:00,Tokyo/NRT,2023-12-21 02:45:00,0,HKG,223
UO 676,2023-12-21 02:40:00,Jeju,2023-12-21 03:28:00,1,HKG,396
KZ 202,2023-12-21 02:45:00,Tokyo/NRT,2023-12-21 02:58:00,0,HKG,292
HX 602,2023-12-21 02:50:00,Osaka/Kansai,2023-12-21 02:42:00,1,HKG,284
RH 962,2023-12-21 02:55:00,Osaka/Kansai,2023-12-21 03:13:00,0,HKG,350
ES 727,2023-12-21 02:55:00,HKG,2023-12-21 02:38:00,0,Bahrain,379
QY 546,2023-12-21 02:55:00,HKG,2023-12-21 03:01:00,0,"Leipzig
Delhi",254
CI 5836,2023-12-21 03:00:00,Taipei,2023-12-21 08:07:00,0,HKG,235
CX 3254,2023-12-21 03:00:00,Shanghai/PVG,2023-12-21 03:19:00,0,HKG,274
LD 327,2023-12-21 03:20:00,Singapore,2023-12-21 03:41:00,0,HKG,346
LD 768,2023-12-21 03:20:00,Beijing/PEK,2023-12-21 03:32:00,0,HKG,324
CX 844,2023-12-21 03:20:00,New York/JFK,2023-12-21 04:02:00,1,HKG,260
KE 314,2023-12-21 03:20:00,Seoul/ICN,2023-12-21 04:16:00,0,HKG,312
LD 128,2023-12-21 03:25:00,Seoul/ICN,2023-12-21 03:32:00,0,HKG,349
LD 720,2023-12-21 03:25:00,Chengdu,2023-12-21 03:26:00,0,HKG,255
BR 6536,2023-12-21 03:25:00,Taipei,2023-12-21 03:34:00,0,HKG,326
K4 250,2023-12-21 03:25:00,HKG,2023-12-22 23:25:00,0,"Miami
Anchorage",354
LD 204,2023-12-21 03:30:00,Osaka/Kansai,2023-12-21 03:46:00,0,HKG,304
8K 526,2023-12-21 03:30:00,Bangkok,2023-12-21 03:45:00,0,HKG,268
D0 514,2023-12-21 03:35:00,HKG,2023-12-21 03:37:00,0,"East Midlands
Dubai",329
LD 831,2023-12-21 03:40:00,Bangkok,2023-12-21 03:59:00,0,HKG,249
3S 632,2023-12-21 03:40:00,HKG,2023-12-21 03:51:00,0,"Frankfurt
Mumbai",419
LD 457,2023-12-21 03:40:00,"Manila
Cebu",2023-12-21 04:13:00,0,HKG,277
LD 216,2023-12-21 03:45:00,Nagoya,2023-12-21 03:56:00,0,HKG,316
TH 3508,2023-12-21 03:45:00,Subang,2023-12-21 04:23:00,0,HKG,369
LD 208,2023-12-21 03:45:00,Tokyo/NRT,2023-12-21 04:00:00,0,HKG,277
LD 561,2023-12-21 03:45:00,Ho Chi Minh,2023-12-21 03:58:00,0,HKG,238
LD 782,2023-12-21 03:50:00,Shanghai/PVG,2023-12-21 04:07:00,0,HKG,244
ES 745,2023-12-21 03:55:00,HKG,2023-12-21 03:40:00,0,"Bahrain
Bangkok",257
LD 391,2023-12-21 04:00:00,Penang,2023-12-21 04:22:00,0,HKG,272
EK 9885,2023-12-21 04:10:00,Dubai/DWC,2023-12-21 04:13:00,0,HKG,304
K4 612,2023-12-21 04:10:00,HKG,2023-12-21 20:12:00,0,"Cincinnati
Anchorage",305
UO 623,2023-12-21 04:10:00,HKG,2023-12-21 05:15:00,1,Tokyo/HND,334
3S 539,2023-12-21 04:15:00,"Singapore
Leipzig",2023-12-21 04:33:00,0,HKG,323
LD 680,2023-12-21 04:20:00,Taipei,2023-12-21 05:11:00,0,HKG,219
UO 765,2023-12-21 04:20:00,HKG,2023-12-21 03:58:00,1,Phuket,356
LD 721,2023-12-21 04:25:00,HKG,2023-12-21 04:03:00,0,Chengdu,218
ES 738,2023-12-21 04:25:00,"Bengaluru
Bahrain",2023-12-21 05:05:00,0,HKG,264
FX 021,2023-12-21 04:30:00,HKG,2023-12-21 04:29:00,0,Osaka/Kansai,320
CX 3142,2023-12-21 04:30:00,HKG,2023-12-21 04:32:00,0,Delhi,292
RH 4569,2023-12-21 04:30:00,HKG,2023-12-21 20:36:00,0,Taipei,269
3S 522,2023-12-21 04:30:00,HKG,2023-12-21 03:46:00,0,"Leipzig
Bahrain",274
5Y 8131,2023-12-21 04:50:00,"Delhi
Anchorage",2023-12-21 05:45:00,0,HKG,345
D0 038,2023-12-21 04:50:00,HKG,2023-12-21 06:28:00,0,"East Midlands
Almaty",298
CX 086,2023-12-21 05:00:00,"Anchorage
Felipe Angeles",2023-12-21 06:27:00,0,HKG,291
7L 1922,2023-12-21 05:00:00,HKG,2023-12-22 12:00:00,0,"Baku
Tashkent",310
CX 040,2023-12-21 05:05:00,HKG,2023-12-21 06:13:00,0,Mumbai,234
PO 785,2023-12-21 05:05:00,HKG,2023-12-21 12:47:00,0,"Miami
Anchorage",304
HB 232,2023-12-21 05:10:00,HKG,2023-12-21 05:09:00,1,Manila,287
RH 354,2023-12-21 05:10:00,HKG,2023-12-21 05:02:00,0,Manila,340
CX 714,2023-12-21 05:20:00,HKG,2023-12-21 05:03:00,1,Singapore,305
CX 829,2023-12-21 05:25:00,HKG,2023-12-21 05:21:00,1,Toronto,329
QR 8058,2023-12-21 05:25:00,HKG,2023-12-21 05:43:00,0,"Doha
Almaty",394
3S 580,2023-12-21 05:35:00,HKG,2023-12-21 06:35:00,0,"Leipzig
Seoul/ICN",309
D0 513,2023-12-21 05:35:00,"Dubai
East Midlands",2023-12-21 06:00:00,0,HKG,268
ES 724,2023-12-21 05:35:00,Bahrain,2023-12-21 05:59:00,0,HKG,244
3S 633,2023-12-21 05:40:00,"Dubai/DWC
Frankfurt",2023-12-21 05:37:00,0,HKG,252
UK 101,2023-12-21 05:55:00,HKG,2023-12-21 05:13:00,1,Delhi,388
HX 780,2023-12-21 05:55:00,HKG,2023-12-21 05:54:00,1,Bangkok,327
UO 629,2023-12-21 05:55:00,HKG,2023-12-21 07:49:00,1,Tokyo/HND,281
CX 796,2023-12-21 06:00:00,HKG,2023-12-21 06:01:00,1,Jakarta,364
QY 547,2023-12-21 06:00:00,"Almaty
Cologne",2023-12-21 06:31:00,0,HKG,197
K4 284,2023-12-21 06:05:00,HKG,2023-12-21 07:04:00,0,"YHM
Los Angeles",255
CX 873,2023-12-21 06:15:00,HKG,2023-12-21 06:28:00,1,San Francisco,289
CX 698,2023-12-21 06:15:00,HKG,2023-12-21 05:55:00,1,Delhi,169
AI 314,2023-12-21 06:15:00,HKG,2023-12-21 06:25:00,1,Delhi,381
CX 382,2023-12-21 06:20:00,HKG,2023-12-21 07:07:00,1,Zurich,373
RH 331,2023-12-21 06:25:00,Bangkok,2023-12-21 11:04:00,0,HKG,274
3S 522,2023-12-21 06:30:00,"Tokyo/NRT
Cincinnati",2023-12-21 06:36:00,0,HKG,302
EY 947,2023-12-21 06:35:00,HKG,2023-12-21 06:06:00,0,Abu Dhabi,290
CX 843,2023-12-21 06:35:00,HKG,2023-12-21 06:42:00,1,New York/JFK,365
O3 6925,2023-12-21 06:40:00,HKG,2023-12-21 06:49:00,0,Ningbo,344
CX 865,2023-12-21 06:45:00,HKG,2023-12-21 07:18:00,1,Vancouver,302
UA 877,2023-12-21 06:45:00,HKG,2023-12-21 06:59:00,1,San Francisco,422
FX 021,2023-12-21 06:50:00,"Liege
Memphis",2023-12-21 06:23:00,0,HKG,252
CX 288,2023-12-21 06:50:00,HKG,2023-12-21 07:13:00,1,Frankfurt,280
CX 3280,2023-12-21 06:55:00,"Los Angeles
Anchorage
Portland",2023-12-21 08:30:00,0,HKG,325
D0 039,2023-12-21 06:55:00,"Almaty
East Midlands",2023-12-21 07:40:00,0,HKG,318
CX 178,2023-12-21 06:55:00,HKG,2023-12-21 07:04:00,1,Melbourne,334
RH 352,2023-12-21 07:00:00,HKG,2023-12-21 07:14:00,0,Manila,297
K4 613,2023-12-21 07:00:00,"Anchorage
New York/JFK",2023-12-22 13:45:00,0,HKG,354
CX 260,2023-12-21 07:00:00,HKG,2023-12-21 06:33:00,1,Paris,348
HX 762,2023-12-21 07:05:00,HKG,2023-12-21 06:41:00,1,Bangkok,313
K4 251,2023-12-21 07:05:00,"Anchorage
Miami",2023-12-23 07:00:00,0,HKG,348
5Y 8892,2023-12-21 07:10:00,Anchorage,2023-12-21 23:57:00,0,HKG,355
UO 618,2023-12-21 07:10:00,Seoul/ICN,2023-12-21 07:08:00,1,HKG,270
5Y 8523,2023-12-21 07:15:00,"Anchorage
Chicago",2023-12-21 07:16:00,0,HKG,380
CX 2061,2023-12-21 07:15:00,HKG,2023-12-21 06:55:00,0,Chengdu,322
CX 881,2023-12-21 07:20:00,HKG,2023-12-21 07:10:00,1,Los Angeles,332
OZ 968,2023-12-21 07:20:00,Seoul/ICN,2023-12-21 08:40:00,0,HKG,227
HX 682,2023-12-21 07:25:00,Okinawa,2023-12-21 07:25:00,1,HKG,229
QR 8059,2023-12-21 07:25:00,Doha,2023-12-21 08:14:00,0,HKG,236
CX 366,2023-12-21 07:30:00,Shanghai/PVG,2023-12-21 07:38:00,1,HKG,371
CX 907,2023-12-21 07:30:00,Manila,2023-12-21 07:37:00,1,HKG,281
7L 1923,2023-12-21 07:30:00,Baku,2023-12-22 14:00:00,0,HKG,255
UO 820,2023-12-21 07:35:00,Okinawa,2023-12-21 07:49:00,1,HKG,381
UO 550,2023-12-21 07:35:00,Hanoi,2023-12-21 07:39:00,1,HKG,296
SQ 7191,2023-12-21 07:35:00,HKG,2023-12-21 09:09:00,0,"Los Angeles
Anchorage",434
CX 270,2023-12-21 07:35:00,HKG,2023-12-21 07:24:00,1,Amsterdam,174
UO 724,2023-12-21 07:35:00,Phuket,2023-12-21 07:40:00,1,HKG,309
5Y 8763,2023-12-21 07:40:00,"Anchorage
Chicago",2023-12-21 22:17:00,0,HKG,288
MU 726,2023-12-21 07:40:00,Shanghai/PVG,2023-12-21 07:44:00,1,HKG,328
CX 252,2023-12-21 07:40:00,HKG,2023-12-21 07:19:00,1,London/LHR,321
UO 600,2023-12-21 07:45:00,Fukuoka,2023-12-21 07:57:00,1,HKG,316
AI 315,2023-12-21 07:45:00,Delhi,2023-12-21 10:28:00,1,HKG,295
3S 593,2023-12-21 07:45:00,"Delhi
Leipzig",2023-12-21 08:44:00,0,HKG,331
CX 140,2023-12-21 07:45:00,HKG,2023-12-21 08:06:00,1,Perth,311
UO 704,2023-12-21 07:50:00,Bangkok,2023-12-21 07:56:00,1,HKG,280
CX 691,2023-12-21 07:50:00,Singapore,2023-12-21 07:52:00,1,HKG,271
CX 982,2023-12-21 07:55:00,Guangzhou,2023-12-21 08:25:00,1,HKG,353
HX 452,2023-12-21 07:55:00,Chengdu Tianfu,2023-12-21 07:57:00,1,HKG,303
O3 6926,2023-12-21 07:55:00,Ningbo,2023-12-21 07:39:00,0,HKG,296
CX 488,2023-12-21 08:00:00,Taipei,2023-12-21 08:08:00,1,HKG,287
5Y 9447,2023-12-21 08:00:00,HKG,2023-12-21 08:18:00,0,Rzeszow,290
5X 067,2023-12-21 08:00:00,HKG,2023-12-21 08:37:00,0,"Louisville
Ho Chi Minh",260
UO 130,2023-12-21 08:00:00,Kaohsiung,2023-12-21 08:01:00,1,HKG,276
HX 764,2023-12-21 08:05:00,HKG,2023-12-21 07:48:00,1,Bangkok,316
CX 976,2023-12-21 08:05:00,HKG,2023-12-21 08:04:00,1,Manila,308
CX 932,2023-12-21 08:05:00,Chongqing,2023-12-21 08:11:00,1,HKG,295
CX 596,2023-12-21 08:10:00,Osaka/Kansai,2023-12-21 08:18:00,1,HKG,287
CI 922,2023-12-21 08:10:00,Taipei,2023-12-21 08:10:00,1,HKG,290
CX 526,2023-12-21 08:10:00,Tokyo/NRT,2023-12-21 08:14:00,1,HKG,352
CX 434,2023-12-21 08:10:00,Seoul/ICN,2023-12-21 08:13:00,1,HKG,295
RW 662,2023-12-21 08:10:00,HKG,2023-12-21 08:29:00,1,Clark,392
5J 272,2023-12-21 08:10:00,HKG,2023-12-21 08:38:00,1,Manila,355
CX 633,2023-12-21 08:15:00,Penang,2023-12-21 08:21:00,1,HKG,249
HB 340,2023-12-21 08:15:00,Osaka/Kansai,2023-12-21 08:19:00,1,HKG,248
CV 4963,2023-12-21 08:15:00,HKG,2023-12-21 07:57:00,0,"Luxembourg
Kuwait",410
CX 3116,2023-12-21 08:25:00,HKG,2023-12-21 08:25:00,0,Chennai,315
UO 846,2023-12-21 08:25:00,Kagoshima,2023-12-21 08:27:00,1,HKG,286
CX 767,2023-12-21 08:25:00,Ho Chi Minh,2023-12-21 08:37:00,1,HKG,405
CX 257,2023-12-21 08:25:00,London/LHR,2023-12-21 08:49:00,1,HKG,249
UO 552,2023-12-21 08:25:00,Da Nang,2023-12-21 08:34:00,1,HKG,186
HB 760,2023-12-21 08:25:00,Seoul/ICN,2023-12-21 08:28:00,1,HKG,353
CX 936,2023-12-21 08:30:00,Wuhan,2023-12-21 08:48:00,1,HKG,278
CA 118,2023-12-21 08:30:00,Beijing/PEK,2023-12-21 08:33:00,1,HKG,349
CX 705,2023-12-21 08:30:00,Bangkok,2023-12-21 08:41:00,1,HKG,354
CX 564,2023-12-21 08:30:00,"Taipei
Osaka/Kansai",2023-12-21 08:31:00,1,HKG,133
CX 771,2023-12-21 08:35:00,Phuket,2023-12-21 08:49:00,1,HKG,325
EY 948,2023-12-21 08:35:00,Abu Dhabi,2023-12-21 08:32:00,0,HKG,250
CZ 5010,2023-12-21 08:40:00,Beijing/PKX,2023-12-21 08:36:00,1,HKG,355
HX 112,2023-12-21 08:40:00,Hangzhou,2023-12-21 08:42:00,1,HKG,237
CX 139,2023-12-21 08:45:00,Sydney,2023-12-21 08:47:00,1,HKG,264
MH 079,2023-12-21 08:45:00,Kuala Lumpur,2023-12-21 08:45:00,1,HKG,290
CX 512,2023-12-21 08:45:00,Fukuoka,2023-12-21 08:54:00,1,HKG,314
AK 8008,2023-12-21 08:50:00,HKG,2023-12-21 09:15:00,0,Kota Kinabalu,230
CX 432,2023-12-21 08:50:00,Kaohsiung,2023-12-21 08:52:00,1,HKG,231
HX 664,2023-12-21 08:50:00,Nagoya,2023-12-21 08:51:00,1,HKG,276
BR 891,2023-12-21 08:50:00,HKG,2023-12-21 09:10:00,1,Taipei,267
CX 548,2023-12-21 08:55:00,Tokyo/HND,2023-12-21 09:02:00,1,HKG,393
HB 702,2023-12-21 08:55:00,Taipei,2023-12-21 09:09:00,1,HKG,291
UK 102,2023-12-21 08:55:00,Delhi,2023-12-21 09:03:00,1,HKG,332
UO 686,2023-12-21 08:55:00,Osaka/Kansai,2023-12-21 08:58:00,1,HKG,248
5J 240,2023-12-21 08:55:00,HKG,2023-12-21 08:49:00,1,Cebu,251
EK 9820,2023-12-21 08:55:00,HKG,2023-12-21 09:37:00,0,"Dubai/DWC
Auckland",261
HX 628,2023-12-21 09:00:00,Seoul/ICN,2023-12-21 09:14:00,1,HKG,274
CX 901,2023-12-21 09:00:00,Manila,2023-12-21 09:20:00,1,HKG,232
CX 530,2023-12-21 09:00:00,"Taipei
Nagoya",2023-12-21 09:19:00,1,HKG,268
CX 386,2023-12-21 09:00:00,Beijing/PEK,2023-12-21 09:09:00,1,HKG,266
PO 786,2023-12-21 09:00:00,"Los Angeles
Miami",2023-12-21 14:57:00,0,HKG,315
CX 759,2023-12-21 09:00:00,Singapore,2023-12-21 09:04:00,1,HKG,257
HX 236,2023-12-21 09:00:00,Shanghai/PVG,2023-12-21 11:28:00,1,HKG,318
CX 504,2023-12-21 09:05:00,Tokyo/NRT,2023-12-21 09:25:00,1,HKG,315
CI 601,2023-12-21 09:05:00,HKG,2023-12-21 10:00:00,1,Taipei,271
3S 538,2023-12-21 09:05:00,HKG,2023-12-21 09:22:00,0,"Leipzig
Singapore",261
SQ 899,2023-12-21 09:05:00,Singapore,2023-12-21 09:27:00,1,HKG,250
HX 252,2023-12-21 09:05:00,Taipei,2023-12-21 09:31:00,1,HKG,281
UO 758,2023-12-21 09:10:00,Bangkok,2023-12-21 09:21:00,1,HKG,209
CX 694,2023-12-21 09:10:00,HKG,2023-12-21 09:26:00,1,Delhi,351
K4 285,2023-12-21 09:10:00,Los Angeles,2023-12-21 09:21:00,0,HKG,305
CX 580,2023-12-21 09:10:00,Sapporo,2023-12-21 09:24:00,1,HKG,312
RW 906,2023-12-21 09:10:00,Davao,2023-12-21 09:34:00,1,HKG,363
HX 608,2023-12-21 09:15:00,Tokyo/NRT,2023-12-21 09:37:00,1,HKG,349
5J 150,2023-12-21 09:15:00,HKG,2023-12-21 08:58:00,1,Clark,261
EK 9342,2023-12-21 09:15:00,HKG,2023-12-21 09:28:00,0,Dubai/DWC,292
CI 933,2023-12-21 09:20:00,HKG,2023-12-21 09:18:00,1,Kaohsiung,315
UO 848,2023-12-21 09:20:00,Tokyo/NRT,2023-12-21 09:41:00,1,HKG,291
CX 777,2023-12-21 09:20:00,Jakarta,2023-12-21 09:29:00,1,HKG,290
HB 320,2023-12-21 09:20:00,Tokyo/NRT,2023-12-21 09:34:00,1,HKG,300
CX 410,2023-12-21 09:20:00,Seoul/ICN,2023-12-21 09:34:00,1,HKG,226
CV 7623,2023-12-21 09:25:00,HKG,2023-12-21 09:59:00,0,"Luxembourg
Hanoi",292
5J 273,2023-12-21 09:25:00,Manila,2023-12-21 10:03:00,1,HKG,356
5Y 8227,2023-12-21 09:30:00,HKG,2023-12-22 22:51:00,0,"Miami
Anchorage",261
CX 830,2023-12-21 09:30:00,New York/JFK,2023-12-21 10:06:00,1,HKG,299
CX 970,2023-12-21 09:30:00,Xiamen,2023-12-21 09:45:00,1,HKG,358
FD 515,2023-12-21 09:30:00,HKG,2023-12-21 09:26:00,1,Chiang Mai,398
CX 043,2023-12-21 09:30:00,Delhi,2023-12-21 09:43:00,0,HKG,193
CX 660,2023-12-21 09:35:00,HKG,2023-12-21 09:43:00,1,Mumbai,265
MU 724,2023-12-21 09:35:00,Shanghai/PVG,2023-12-21 09:45:00,1,HKG,281
CX 3195,2023-12-21 09:35:00,HKG,2023-12-21 19:24:00,0,"New York/JFK
Toronto
Anchorage",251
SQ 7952,2023-12-21 09:40:00,HKG,2023-12-21 09:30:00,0,Singapore,364
5J 241,2023-12-21 09:40:00,Cebu,2023-12-21 09:50:00,1,HKG,300
HX 308,2023-12-21 09:40:00,Beijing/PKX,2023-12-21 09:52:00,1,HKG,295
HX 640,2023-12-21 09:45:00,Fukuoka,2023-12-21 09:59:00,1,HKG,253
5J 110,2023-12-21 09:45:00,HKG,2023-12-21 10:05:00,1,Manila,362
CX 368,2023-12-21 09:45:00,Shanghai/PVG,2023-12-21 11:16:00,1,HKG,267
CX 536,2023-12-21 09:45:00,Nagoya,2023-12-21 09:56:00,1,HKG,286
HX 741,2023-12-21 09:50:00,Phuket,2023-12-21 10:12:00,1,HKG,319
5Y 9449,2023-12-21 09:50:00,HKG,2023-12-21 16:28:00,0,Rzeszow,280
FD 508,2023-12-21 09:50:00,HKG,2023-12-21 09:31:00,1,Bangkok/DMK,308
CI 903,2023-12-21 09:55:00,HKG,2023-12-21 10:57:00,1,Taipei,287
CX 615,2023-12-21 09:55:00,Bangkok,2023-12-21 10:53:00,1,HKG,236
UO 680,2023-12-21 09:55:00,Nagoya,2023-12-21 10:01:00,1,HKG,289
UO 850,2023-12-21 09:55:00,Osaka/Kansai,2023-12-21 10:04:00,1,HKG,290
BR 892,2023-12-21 10:00:00,Taipei,2023-12-21 10:28:00,1,HKG,421
CX 450,2023-12-21 10:00:00,"Taipei
Tokyo/NRT",2023-12-21 10:14:00,1,HKG,278
5J 149,2023-12-21 10:00:00,Clark,2023-12-21 10:14:00,1,HKG,274
CX 348,2023-12-21 10:00:00,Shanghai/SHA,2023-12-21 10:28:00,1,HKG,307
CX 785,2023-12-21 10:00:00,Denpasar,2023-12-21 10:20:00,1,HKG,303
UO 190,2023-12-21 10:05:00,Taichung,2023-12-21 10:14:00,1,HKG,250
SQ 7191,2023-12-21 10:05:00,Singapore,2023-12-21 13:03:00,0,HKG,266
BR 851,2023-12-21 10:05:00,HKG,2023-12-21 10:28:00,1,Taipei,259
TR 978,2023-12-21 10:05:00,HKG,2023-12-21 09:53:00,1,Singapore,296
AK 8011,2023-12-21 10:10:00,Kuala Lumpur,2023-12-21 11:39:00,0,HKG,223
CX 954,2023-12-21 10:10:00,Qingdao,2023-12-21 10:40:00,1,HKG,316
UO 677,2023-12-21 10:10:00,HKG,2023-12-21 10:57:00,1,Jeju,278
PR 300,2023-12-21 10:15:00,HKG,2023-12-21 09:59:00,1,Manila,301
HX 231,2023-12-21 10:15:00,HKG,2023-12-21 10:26:00,1,Shanghai/PVG,303
CV 5964,2023-12-21 10:15:00,"Anchorage
New York/JFK",2023-12-21 10:40:00,0,HKG,292
HX 497,2023-12-21 10:20:00,HKG,2023-12-21 10:11:00,1,Chongqing,232
CI 602,2023-12-21 10:20:00,Taipei,2023-12-21 10:53:00,1,HKG,340
CX 986,2023-12-21 10:20:00,Chengdu Tianfu,2023-12-21 11:49:00,1,HKG,312
JL 736,2023-12-21 10:20:00,Tokyo/NRT,2023-12-21 10:23:00,1,HKG,247
CI 934,2023-12-21 10:20:00,Kaohsiung,2023-12-21 10:24:00,1,HKG,256
