code,time_sch,dest,time_act,commercial,orig,pass_load
CX 261,2023-12-21 00:05:00,Paris,2023-12-21 00:09:00,1,HKG,383
RH 358,2023-12-21 00:05:00,"Almaty
Milan/MXP",2023-12-21 07:08:00,0,HKG,336
CX 2035,2023-12-21 00:10:00,HKG,2023-12-20 23:55:00,0,"Osaka/Kansai
Taipei",289
MU 725,2023-12-21 00:15:00,HKG,2023-12-21 00:29:00,1,Shanghai/PVG,292
CX 289,2023-12-21 00:15:00,Frankfurt,2023-12-21 00:17:00,1,HKG,345
CX 880,2023-12-21 00:15:00,Los Angeles,2023-12-21 00:17:00,1,HKG,358
HX 313,2023-12-21 00:20:00,HKG,2023-12-21 00:09:00,1,Beijing/PEK,169
LD 681,2023-12-21 00:20:00,HKG,2023-12-21 00:36:00,0,Taipei,233
CX 636,2023-12-21 00:20:00,HKG,2023-12-21 00:26:00,1,Singapore,322
KZ 203,2023-12-21 00:25:00,HKG,2023-12-21 01:06:00,0,Tokyo/NRT,305
CX 105,2023-12-21 00:25:00,Melbourne,2023-12-21 00:43:00,1,HKG,352
LD 392,2023-12-21 00:25:00,HKG,2023-12-21 00:09:00,0,Penang,381
QR 815,2023-12-21 00:30:00,Doha,2023-12-21 00:26:00,1,HKG,279
OZ 746,2023-12-21 00:30:00,Seoul/ICN,2023-12-21 01:39:00,1,HKG,343
UO 651,2023-12-21 00:30:00,HKG,2023-12-21 01:44:00,1,Tokyo/NRT,359
7C 2107,2023-12-21 00:30:00,HKG,2023-12-21 01:42:00,1,Seoul/ICN,286
UO 863,2023-12-21 00:30:00,HKG,2023-12-21 02:26:00,1,Osaka/Kansai,224
EK 381,2023-12-21 00:35:00,Dubai,2023-12-21 00:44:00,1,HKG,287
CX 3170,2023-12-21 00:40:00,"Miami
Anchorage
Houston",2023-12-21 02:35:00,0,HKG,347
KE 179,2023-12-21 00:40:00,HKG,2023-12-21 01:27:00,1,Seoul/ICN,261
LD 129,2023-12-21 00:45:00,HKG,2023-12-21 01:19:00,0,Seoul/ICN,310
LD 456,2023-12-21 00:45:00,HKG,2023-12-21 00:47:00,0,"Cebu
Manila",370
MM 067,2023-12-21 00:45:00,HKG,2023-12-21 01:36:00,1,Osaka/Kansai,225
CX 233,2023-12-21 00:50:00,Milan/MXP,2023-12-21 00:52:00,1,HKG,226
CX 3069,2023-12-21 00:55:00,HKG,2023-12-21 12:54:00,0,"Felipe Angeles
Guadalajara
Anchorage",349
KE 178,2023-12-21 00:55:00,Seoul/ICN,2023-12-21 02:04:00,1,HKG,255
UO 627,2023-12-21 00:55:00,HKG,2023-12-21 01:49:00,1,Seoul/ICN,281
EK 9278,2023-12-21 00:55:00,HKG,2023-12-21 00:47:00,0,Dubai,223
FX 9730,2023-12-21 01:00:00,Anchorage,2023-12-21 03:04:00,0,HKG,228
CX 888,2023-12-21 01:00:00,Vancouver,2023-12-21 01:14:00,1,HKG,337
CI 5835,2023-12-21 01:00:00,HKG,2023-12-21 06:22:00,0,Taipei,334
GTR3935,2023-12-21 01:00:00,"Nur-Sultan
Budapest",2023-12-21 05:09:00,0,HKG,331
LD 205,2023-12-21 01:00:00,HKG,2023-12-21 01:14:00,0,Osaka/Kansai,282
7C 2185,2023-12-21 01:05:00,HKG,2023-12-21 02:22:00,1,Jeju,278
LD 769,2023-12-21 01:10:00,HKG,2023-12-21 02:10:00,0,Beijing/PEK,265
CX 219,2023-12-21 01:10:00,Manchester,2023-12-21 01:17:00,1,HKG,293
ES 726,2023-12-21 01:10:00,Bahrain,2023-12-21 01:17:00,0,HKG,357
NH 8511,2023-12-21 01:10:00,HKG,2023-12-21 01:27:00,0,Tokyo/NRT,316
UO 693,2023-12-21 01:15:00,HKG,2023-12-21 02:40:00,1,Tokyo/NRT,348
CX 006,2023-12-21 01:15:00,Tokyo/NRT,2023-12-21 04:07:00,0,HKG,308
LD 217,2023-12-21 01:15:00,HKG,2023-12-21 01:26:00,0,Nagoya,293
8K 525,2023-12-21 01:20:00,HKG,2023-12-21 01:30:00,0,Hanoi,300
KE 313,2023-12-21 01:20:00,HKG,2023-12-21 01:55:00,0,Seoul/ICN,329
HX 763,2023-12-21 01:20:00,Bangkok,2023-12-21 01:18:00,1,HKG,280
LD 562,2023-12-21 01:20:00,HKG,2023-12-21 01:38:00,0,Ho Chi Minh,301
LD 783,2023-12-21 01:25:00,HKG,2023-12-21 01:48:00,0,Shanghai/PVG,281
CX 524,2023-12-21 01:25:00,Tokyo/NRT,2023-12-21 02:11:00,1,HKG,246
LD 326,2023-12-21 01:25:00,HKG,2023-12-21 01:28:00,0,Singapore,234
HX 611,2023-12-21 01:25:00,HKG,2023-12-21 02:31:00,1,Tokyo/NRT,283
BR 6535,2023-12-21 01:25:00,HKG,2023-12-21 01:36:00,0,Taipei,340
LD 842,2023-12-21 01:25:00,HKG,2023-12-21 01:15:00,0,Bangkok,302
7C 2108,2023-12-21 01:30:00,Seoul/ICN,2023-12-21 02:53:00,1,HKG,307
TW 117,2023-12-21 01:30:00,HKG,2023-12-21 03:02:00,1,Seoul/ICN,390
TH 3507,2023-12-21 01:30:00,HKG,2023-12-21 01:21:00,0,Subang,327
LD 209,2023-12-21 01:30:00,HKG,2023-12-21 01:58:00,0,Tokyo/NRT,273
MM 068,2023-12-21 01:35:00,Osaka/Kansai,2023-12-21 02:33:00,1,HKG,346
CV 7333,2023-12-21 01:40:00,"Ashgabat
Budapest
Luxembourg",2023-12-21 02:25:00,0,HKG,359
