time_sch,time_act,code,dest,stat,orig
06:00,06:00,HV 5315 Transavia,Larnaca (LCA),DEPARTED,Amsterdam
06:00,06:00,HV 5759 Transavia,Marrakech (RAK),DEPARTED,Amsterdam
06:25,06:25,HV 5685 Transavia,Arrecife (ACE),DEPARTED,Amsterdam
06:25,06:25,HV 6629 Transavia,Funchal (FNC),DEPARTED,Amsterdam
06:30,06:30,HV 6901 Transavia,Dubai International (DXB),DEPARTED,Amsterdam
06:35,06:35,HV 6331 Transavia,Valencia (VLC),DEPARTED,Amsterdam
06:45,06:45,HV 6143 Transavia,Alicante (ALC),DEPARTED,Amsterdam
06:45,07:06,KL 1141 KLM,Oslo (OSL),DEPARTED,Amsterdam
06:50,07:19,HV 6115 Transavia,Malaga (AGP),DEPARTED,Amsterdam
06:50,06:50,KL 1223 KLM,Paris de Gaulle (CDG),CANCELLED,Amsterdam
06:50,07:01,KL 1351 KLM,Prague (PRG),DEPARTED,Amsterdam
06:50,06:50,KL 1721 KLM,Brussels (BRU),DEPARTED,Amsterdam
06:50,07:36,KL 1853 KLM,Dusseldorf (DUS),DEPARTED,Amsterdam
06:55,07:07,HV 5131 Transavia,Barcelona (BCN),DEPARTED,Amsterdam
06:55,07:09,KL 1105 KLM,Stockholm (ARN),DEPARTED,Amsterdam
06:55,06:55,KL 1597 KLM,Rome (FCO),DEPARTED,Amsterdam
06:55,06:55,KL 1777 KLM,Hamburg (HAM),DEPARTED,Amsterdam
06:55,06:55,KL 1925 KLM,Geneva (GVA),CANCELLED,Amsterdam
07:00,07:11,EJU 7983 easyJet Europe,Rovaniemi (RVN),DEPARTED,Amsterdam
07:00,07:15,HV 6867 Transavia,Athens (ATH),DEPARTED,Amsterdam
07:00,07:11,LO 270 LOT Polish Airlines,Warsaw (WAW),DEPARTED,Amsterdam
07:00,07:24,LX 737 Swiss International Airlines,Zurich (ZRH),DEPARTED,Amsterdam
07:00,07:32,OR 3801 TUI fly,Banjul (BJL),DEPARTED,Amsterdam
07:00,07:00,PC 1256 Pegasus Airlines,Istanbul Sabiha (SAW),DEPARTED,Amsterdam
07:00,07:55,TP 675 TAP Air Portugal,Lisbon (LIS),DEPARTED,Amsterdam
07:00,07:19,VY 8308 Vueling,Barcelona (BCN),DEPARTED,Amsterdam
07:00,07:45,VY 8364 Vueling,Malaga (AGP),DEPARTED,Amsterdam
07:05,07:34,BA 423 British Airways,London Heathrow (LHR),DEPARTED,Amsterdam
07:05,07:05,EJU 8672 easyJet Europe,London Gatwick (LGW),DEPARTED,Amsterdam
07:05,07:25,HV 6609 Transavia,Innsbruck (INN),DEPARTED,Amsterdam
07:05,07:27,KL 981 KLM,London City (LCY),DEPARTED,Amsterdam
07:05,07:25,LH 2311 Lufthansa,Munich (MUC),DEPARTED,Amsterdam
07:05,07:33,OS 378 Austrian Airlines,Vienna (VIE),DEPARTED,Amsterdam
07:10,07:46,HV 5623 Transavia,Palma (PMI),DEPARTED,Amsterdam
07:10,07:43,HV 6591 Transavia,Salzburg (SZG),DEPARTED,Amsterdam
07:15,07:15,AZ 119 ITA Airways,Milan Linate (LIN),DEPARTED,Amsterdam
07:15,07:27,EJU 7849 easyJet Europe,Birmingham (BHX),DEPARTED,Amsterdam
07:15,07:15,EJU 7935 easyJet Europe,Copenhagen (CPH),DEPARTED,Amsterdam
07:15,07:15,HV 6411 Transavia,Naples (NAP),DEPARTED,Amsterdam
07:15,07:38,VY 8352 Vueling,Valencia (VLC),DEPARTED,Amsterdam
07:20,07:41,EJU 2164 easyJet Europe,Manchester (MAN),DEPARTED,Amsterdam
07:20,07:49,EJU 7835 easyJet Europe,Edinburgh (EDI),DEPARTED,Amsterdam
07:20,07:33,EJU 7865 easyJet Europe,Geneva (GVA),DEPARTED,Amsterdam
07:20,07:45,HV 5817 Transavia,Bari (BRI),DEPARTED,Amsterdam
07:20,07:20,KL 1001 KLM,London Heathrow (LHR),CANCELLED,Amsterdam
07:25,07:56,HV 5163 Transavia,Riga (RIX),DEPARTED,Amsterdam
07:25,08:05,LH 1003 Lufthansa,Frankfurt (FRA),DEPARTED,Amsterdam
07:30,07:44,KL 933 KLM,Dublin (DUB),DEPARTED,Amsterdam
07:40,08:05,HV 6003 Transavia,Oporto (OPO),DEPARTED,Amsterdam
07:40,07:50,KL 1187 KLM,Bergen (BGO),DEPARTED,Amsterdam
07:40,08:04,KL 1699 KLM,Madrid (MAD),DEPARTED,Amsterdam
07:45,07:45,KL 1125 KLM,Copenhagen (CPH),DEPARTED,Amsterdam
07:45,07:45,KL 1791 KLM,Munich (MUC),DEPARTED,Amsterdam
07:55,07:55,KL 1197 KLM,Stavanger (SVG),DEPARTED,Amsterdam
08:00,08:00,KL 1471 KLM,Glasgow (GLA),CANCELLED,Amsterdam
08:00,08:00,KL 1867 KLM,Stuttgart (STR),DEPARTED,Amsterdam
08:05,08:05,KL 985 KLM,London City (LCY),DEPARTED,Amsterdam
08:05,08:28,KL 1071 KLM,Manchester (MAN),DEPARTED,Amsterdam
08:05,08:05,KL 1153 KLM,Gothenburg (GOT),DEPARTED,Amsterdam
08:05,09:50,KL 1277 KLM,Edinburgh (EDI),DEPARTED,Amsterdam
08:05,08:19,KL 1441 KLM,Aberdeen (ABZ),DEPARTED,Amsterdam
08:05,08:05,KL 1821 KLM,Berlin Brandenburg (BER),CANCELLED,Amsterdam
08:10,08:45,KL 1229 KLM,Paris de Gaulle (CDG),DEPARTED,Amsterdam
08:10,08:10,OR 225 TUI fly,Cancun (CUN),DEPARTED,Amsterdam
08:15,08:15,KL 1883 KLM,Nuremberg (NUE),DEPARTED,Amsterdam
08:15,08:15,OR 3451 TUI fly,Marsa Alam (RMF),DEPARTED,Amsterdam
08:20,11:25,CD 417 Corendon Dutch Airlines,Hurghada (HRG),DEPARTED,Amsterdam
08:20,08:20,KL 1049 KLM,Bristol (BRS),CANCELLED,Amsterdam
08:20,08:56,KL 1665 KLM,Barcelona (BCN),DEPARTED,Amsterdam
08:25,08:25,EJU 7953 easyJet Europe,Nice (NCE),DEPARTED,Amsterdam
08:25,08:37,KL 1107 KLM,Stockholm (ARN),DEPARTED,Amsterdam
08:25,08:35,KL 1421 KLM,Birmingham (BHX),DEPARTED,Amsterdam
08:30,08:51,HV 6113 Transavia,Malaga (AGP),DEPARTED,Amsterdam
08:30,08:40,KL 957 KLM,Newcastle (NCL),DEPARTED,Amsterdam
08:30,08:30,KL 1329 KLM,Aalborg (AAL),DEPARTED,Amsterdam
