,time_sch,dest,url,time_act,orig,code
315,13:50,Munich,https://www.heathrow.com/departures/terminal-2/flight-details/LH2475/19-12-2023,14:33,London,LH2475
316,13:55,Stockholm,https://www.heathrow.com/departures/terminal-2/flight-details/SK532/19-12-2023,14:25,London,SK532
317,13:55,Abu Dhabi,https://www.heathrow.com/departures/terminal-4/flight-details/EY020/19-12-2023,15:12,London,EY020
318,13:55,Geneva,https://www.heathrow.com/departures/terminal-5/flight-details/BA722/19-12-2023,14:34,London,BA722
319,13:55,Hamburg,https://www.heathrow.com/departures/terminal-2/flight-details/EW7463/19-12-2023,14:08,London,EW7463
320,13:55,Sofia,https://www.heathrow.com/departures/terminal-3/flight-details/BA890/19-12-2023,15:01,London,BA890
321,14:00,Algiers,https://www.heathrow.com/departures/terminal-4/flight-details/AH2055/19-12-2023,14:52,London,AH2055
322,14:00,Cairo,https://www.heathrow.com/departures/terminal-2/flight-details/MS778/19-12-2023,15:03,London,MS778
323,14:00,New York City,https://www.heathrow.com/departures/terminal-5/flight-details/BA115/19-12-2023,14:39,London,BA115
324,14:00,Luxembourg-Ville,https://www.heathrow.com/departures/terminal-3/flight-details/BA418/19-12-2023,15:21,London,BA418
325,14:00,Cork,https://www.heathrow.com/departures/terminal-2/flight-details/EI715/19-12-2023,14:09,London,EI715
326,14:05,New York City,https://www.heathrow.com/departures/terminal-3/flight-details/VS153/19-12-2023,14:41,London,VS153
327,14:10,Amsterdam,https://www.heathrow.com/departures/terminal-5/flight-details/BA446/19-12-2023,14:36,London,BA446
328,14:10,Charlotte,https://www.heathrow.com/departures/terminal-3/flight-details/AA731/19-12-2023,14:37,London,AA731
329,14:10,Frankfurt,https://www.heathrow.com/departures/terminal-5/flight-details/BA908/19-12-2023,15:28,London,BA908
330,14:10,Chennai,https://www.heathrow.com/departures/terminal-5/flight-details/BA035/19-12-2023,15:08,London,BA035
331,14:15,Doha,https://www.heathrow.com/departures/terminal-4/flight-details/QR004/19-12-2023,17:27,London,QR004
332,14:15,Dublin,https://www.heathrow.com/departures/terminal-2/flight-details/EI165/19-12-2023,14:46,London,EI165
333,14:15,Miami,https://www.heathrow.com/departures/terminal-5/flight-details/BA209/19-12-2023,15:34,London,BA209
334,14:15,Jersey,https://www.heathrow.com/departures/terminal-5/flight-details/BA1346/19-12-2023,14:44,London,BA1346
335,14:20,Tel Aviv,https://www.heathrow.com/departures/terminal-4/flight-details/LY316/19-12-2023,14:58,London,LY316
336,14:20,RIX,https://www.heathrow.com/departures/terminal-5/flight-details/BA880/19-12-2023,14:43,London,BA880
337,14:25,Aberdeen,https://www.heathrow.com/departures/terminal-5/flight-details/BA1312/19-12-2023,14:45,London,BA1312
338,14:25,Geneva,https://www.heathrow.com/departures/terminal-2/flight-details/LX355/19-12-2023,15:25,London,LX355
339,14:25,Phoenix,https://www.heathrow.com/departures/terminal-3/flight-details/BA289/19-12-2023,15:02,London,BA289
340,14:30,Brussels,https://www.heathrow.com/departures/terminal-5/flight-details/BA398/19-12-2023,15:29,London,BA398
341,14:30,Copenhagen,https://www.heathrow.com/departures/terminal-5/flight-details/BA818/19-12-2023,15:28,London,BA818
342,14:30,Vancouver,https://www.heathrow.com/departures/terminal-2/flight-details/AC861/19-12-2023,14:53,London,AC861
343,14:30,Isle of Man,https://www.heathrow.com/departures/terminal-2/flight-details/LM676/19-12-2023,14:46,London,LM676
344,14:30,Los Angeles,https://www.heathrow.com/departures/terminal-3/flight-details/DL187/19-12-2023,15:09,London,DL187
345,14:35,Hyderabad,https://www.heathrow.com/departures/terminal-5/flight-details/BA277/19-12-2023,15:05,London,BA277
346,14:35,Orlando,https://www.heathrow.com/departures/terminal-3/flight-details/VS091/19-12-2023,15:04,London,VS091
347,14:35,Stuttgart,https://www.heathrow.com/departures/terminal-2/flight-details/EW2461/19-12-2023,15:00,London,EW2461
348,14:35,Vienna,https://www.heathrow.com/departures/terminal-3/flight-details/BA704/19-12-2023,15:11,London,BA704
349,14:40,Bologna,https://www.heathrow.com/departures/terminal-5/flight-details/BA542/19-12-2023,15:19,London,BA542
350,14:45,PKX,https://www.heathrow.com/departures/terminal-5/flight-details/BA039/19-12-2023,16:16,London,BA039
351,14:45,Prague,https://www.heathrow.com/departures/terminal-3/flight-details/BA856/19-12-2023,15:40,London,BA856
352,14:45,Raleigh,https://www.heathrow.com/departures/terminal-3/flight-details/AA173/19-12-2023,15:06,London,AA173
353,14:45,Vienna,https://www.heathrow.com/departures/terminal-2/flight-details/OS462/19-12-2023,15:36,London,OS462
354,14:45,Belfast,https://www.heathrow.com/departures/terminal-5/flight-details/BA1428/19-12-2023,16:27,London,BA1428
355,14:50,Barcelona,https://www.heathrow.com/departures/terminal-5/flight-details/BA470/19-12-2023,15:22,London,BA470
356,14:50,Madrid,https://www.heathrow.com/departures/terminal-5/flight-details/BA462/19-12-2023,15:16,London,BA462
357,14:50,Bucharest,https://www.heathrow.com/departures/terminal-4/flight-details/RO392/19-12-2023,15:17,London,RO392
358,14:50,Seattle,https://www.heathrow.com/departures/terminal-5/flight-details/BA049/19-12-2023,15:23,London,BA049
359,14:50,Calgary,https://www.heathrow.com/departures/terminal-4/flight-details/WS019/19-12-2023,15:43,London,WS019
360,14:55,Doha,https://www.heathrow.com/departures/terminal-4/flight-details/QR008/19-12-2023,15:32,London,QR008
361,14:55,Newcastle Upon Tyne,https://www.heathrow.com/departures/terminal-5/flight-details/BA1334/19-12-2023,15:26,London,BA1334
362,15:00,Paris,https://www.heathrow.com/departures/terminal-4/flight-details/AF1781/19-12-2023,15:53,London,AF1781
363,15:00,Paris,https://www.heathrow.com/departures/terminal-5/flight-details/BA316/19-12-2023,15:51,London,BA316
364,15:00,Milan,https://www.heathrow.com/departures/terminal-5/flight-details/BA568/19-12-2023,15:31,London,BA568
365,15:00,Toronto,https://www.heathrow.com/departures/terminal-2/flight-details/AC857/19-12-2023,15:55,London,AC857
366,15:00,Jeddah,https://www.heathrow.com/departures/terminal-4/flight-details/SV114/19-12-2023,15:44,London,SV114
367,15:05,Glasgow,https://www.heathrow.com/departures/terminal-5/flight-details/BA1486/19-12-2023,16:31,London,BA1486
368,15:05,Houston,https://www.heathrow.com/departures/terminal-5/flight-details/BA197/19-12-2023,18:56,London,BA197
369,15:05,Los Angeles,https://www.heathrow.com/departures/terminal-5/flight-details/BA269/19-12-2023,15:48,London,BA269
370,15:05,Lyon,https://www.heathrow.com/departures/terminal-3/flight-details/BA364/19-12-2023,15:41,London,BA364
371,15:10,Geneva,https://www.heathrow.com/departures/terminal-5/flight-details/BA734/19-12-2023,15:38,London,BA734
372,15:10,Chicago,https://www.heathrow.com/departures/terminal-2/flight-details/UA959/19-12-2023,15:47,London,UA959
373,15:10,San Francisco,https://www.heathrow.com/departures/terminal-5/flight-details/BA287/19-12-2023,15:56,London,BA287
374,15:15,Warsaw,https://www.heathrow.com/departures/terminal-5/flight-details/BA850/19-12-2023,15:39,London,BA850
375,15:20,Cairo,https://www.heathrow.com/departures/terminal-5/flight-details/BA400/19-12-2023,16:04,London,BA400
376,15:20,Hamburg,https://www.heathrow.com/departures/terminal-5/flight-details/BA966/19-12-2023,16:21,London,BA966
377,15:20,Los Angeles,https://www.heathrow.com/departures/terminal-2/flight-details/UA935/19-12-2023,15:46,London,UA935
378,15:20,Manchester,https://www.heathrow.com/departures/terminal-5/flight-details/BA1396/19-12-2023,15:52,London,BA1396
379,15:20,Shannon,https://www.heathrow.com/departures/terminal-2/flight-details/EI385/19-12-2023,16:06,London,EI385
380,15:25,Baltimore,https://www.heathrow.com/departures/terminal-5/flight-details/BA229/19-12-2023,16:32,London,BA229
381,15:25,Edinburgh,https://www.heathrow.com/departures/terminal-5/flight-details/BA1446/19-12-2023,16:12,London,BA1446
382,15:25,Oslo,https://www.heathrow.com/departures/terminal-3/flight-details/BA768/19-12-2023,16:11,London,BA768
383,15:30,Dublin,https://www.heathrow.com/departures/terminal-5/flight-details/BA826/19-12-2023,16:09,London,BA826
384,15:30,Frankfurt,https://www.heathrow.com/departures/terminal-5/flight-details/BA910/19-12-2023,16:03,London,BA910
385,15:30,Frankfurt,https://www.heathrow.com/departures/terminal-2/flight-details/LH909/19-12-2023,16:00,London,LH909
386,15:30,New York City,https://www.heathrow.com/departures/terminal-3/flight-details/VS137/19-12-2023,16:13,London,VS137
387,15:30,Zurich,https://www.heathrow.com/departures/terminal-5/flight-details/BA718/19-12-2023,16:08,London,BA718
388,15:35,Atlanta,https://www.heathrow.com/departures/terminal-3/flight-details/BA227/19-12-2023,16:56,London,BA227
389,15:35,Basel,https://www.heathrow.com/departures/terminal-5/flight-details/BA750/19-12-2023,16:10,London,BA750
390,15:35,Budapest,https://www.heathrow.com/departures/terminal-3/flight-details/BA866/19-12-2023,16:05,London,BA866
391,15:35,Oslo,https://www.heathrow.com/departures/terminal-2/flight-details/SK806/19-12-2023,15:54,London,SK806
392,15:35,New York City,https://www.heathrow.com/departures/terminal-3/flight-details/AA105/19-12-2023,15:58,London,AA105
393,15:40,Dusseldorf,https://www.heathrow.com/departures/terminal-2/flight-details/EW9465/19-12-2023,16:07,London,EW9465
394,15:45,Amsterdam,https://www.heathrow.com/departures/terminal-4/flight-details/KL1020/19-12-2023,16:01,London,KL1020
395,15:45,Stockholm,https://www.heathrow.com/departures/terminal-5/flight-details/BA782/19-12-2023,17:01,London,BA782
396,15:45,Kuwait,https://www.heathrow.com/departures/terminal-4/flight-details/KU102/19-12-2023,16:14,London,KU102
397,15:45,Madrid,https://www.heathrow.com/departures/terminal-5/flight-details/IB3177/19-12-2023,16:22,London,IB3177
398,15:50,Atlanta,https://www.heathrow.com/departures/terminal-3/flight-details/DL033/19-12-2023,16:17,London,DL033
399,15:50,Cologne,https://www.heathrow.com/departures/terminal-2/flight-details/EW465/19-12-2023,16:11,London,EW465
400,15:50,Dubai,https://www.heathrow.com/departures/terminal-3/flight-details/EK030/19-12-2023,16:18,London,EK030
401,15:50,Rome,https://www.heathrow.com/departures/terminal-5/flight-details/BA546/19-12-2023,16:46,London,BA546
402,15:50,Miami,https://www.heathrow.com/departures/terminal-3/flight-details/VS005/19-12-2023,16:40,London,VS005
403,15:55,Lisbon,https://www.heathrow.com/departures/terminal-5/flight-details/BA502/19-12-2023,16:29,London,BA502
404,16:00,Berlin,https://www.heathrow.com/departures/terminal-5/flight-details/BA986/19-12-2023,16:23,London,BA986
405,16:00,Jersey,https://www.heathrow.com/departures/terminal-5/flight-details/BA1348/19-12-2023,16:36,London,BA1348
406,16:00,New York City,https://www.heathrow.com/departures/terminal-3/flight-details/DL004/19-12-2023,16:38,London,DL004
407,16:05,Amman,https://www.heathrow.com/departures/terminal-3/flight-details/RJ112/19-12-2023,21:16,London,RJ112
