time_sch,time_act,code,dest,stat,orig,pass_load,time_diff
2023-12-21 00:10:00,2023-12-21 01:19:00,HV 6888 Transavia,Amsterdam,BAGGAGE HANDLED,Reykjavik (KEF),383,4140.0
2023-12-21 00:25:00,2023-12-21 00:25:00,HV 5336 Transavia,Amsterdam,BAGGAGE HANDLED,Sharm El Sheikh (SSH),364,0.0
2023-12-21 01:00:00,2023-12-21 01:00:00,HV 6676 Transavia,Amsterdam,BAGGAGE HANDLED,Tenerife (TFS),319,0.0
2023-12-21 05:45:00,2023-12-21 05:45:00,KL 590 KLM,Amsterdam,BAGGAGE HANDLED,Accra (ACC),238,0.0
2023-12-21 05:50:00,2023-12-21 06:44:00,KL 810 KLM,Amsterdam,BAGGAGE HANDLED,Jakarta (CGK),327,3240.0
2023-12-21 05:55:00,2023-12-21 05:55:00,KL 624 KLM,Amsterdam,BAGGAGE HANDLED,Atlanta (ATL),279,0.0
2023-12-21 05:55:00,2023-12-21 05:55:00,DL 46 Delta Air Lines,Amsterdam,BAGGAGE HANDLED,New York JFK (JFK),335,0.0
2023-12-21 06:00:00,2023-12-21 06:00:00,DL 132 Delta Air Lines,Amsterdam,BAGGAGE HANDLED,Detroit (DTW),329,0.0
2023-12-21 06:00:00,2023-12-21 06:00:00,HV 5315 Transavia,Larnaca (LCA),DEPARTED,Amsterdam,383,0.0
2023-12-21 06:00:00,2023-12-21 06:00:00,HV 5759 Transavia,Marrakech (RAK),DEPARTED,Amsterdam,336,0.0
2023-12-21 06:20:00,2023-12-21 06:20:00,KL 428 KLM,Amsterdam,BAGGAGE HANDLED,Dubai International (DXB),320,0.0
2023-12-21 06:25:00,2023-12-21 06:25:00,HV 5685 Transavia,Arrecife (ACE),DEPARTED,Amsterdam,289,0.0
2023-12-21 06:25:00,2023-12-21 06:25:00,HV 6629 Transavia,Funchal (FNC),DEPARTED,Amsterdam,292,0.0
2023-12-21 06:30:00,2023-12-21 06:30:00,HV 6901 Transavia,Dubai International (DXB),DEPARTED,Amsterdam,345,0.0
2023-12-21 06:35:00,2023-12-21 06:46:00,KL 535 KLM,Amsterdam,BAGGAGE HANDLED,Kigali (KGL),338,660.0
2023-12-21 06:35:00,2023-12-21 06:35:00,CX 271 Cathay Pacific,Amsterdam,BAGGAGE HANDLED,Hong Kong (HKG),342,0.0
2023-12-21 06:35:00,2023-12-21 06:35:00,HV 6331 Transavia,Valencia (VLC),DEPARTED,Amsterdam,358,0.0
2023-12-21 06:40:00,2023-12-21 06:40:00,DL 160 Delta Air Lines,Amsterdam,BAGGAGE HANDLED,Minneapolis (MSP),221,0.0
2023-12-21 06:45:00,2023-12-21 06:45:00,SQ 324 Singapore Airlines,Amsterdam,BAGGAGE HANDLED,Singapore (SIN),266,0.0
2023-12-21 06:45:00,2023-12-21 06:45:00,HV 6143 Transavia,Alicante (ALC),DEPARTED,Amsterdam,169,0.0
2023-12-21 06:45:00,2023-12-21 07:06:00,KL 1141 KLM,Oslo (OSL),DEPARTED,Amsterdam,233,1260.0
2023-12-21 06:50:00,2023-12-21 06:50:00,KL 642 KLM,Amsterdam,BAGGAGE HANDLED,New York JFK (JFK),239,0.0
2023-12-21 06:50:00,2023-12-21 07:19:00,HV 6115 Transavia,Malaga (AGP),DEPARTED,Amsterdam,322,1740.0
2023-12-21 06:50:00,2023-12-21 06:50:00,KL 1223 KLM,Paris de Gaulle (CDG),CANCELLED,Amsterdam,305,0.0
2023-12-21 06:50:00,2023-12-21 07:36:00,KL 1853 KLM,Dusseldorf (DUS),DEPARTED,Amsterdam,224,2760.0
2023-12-21 06:50:00,2023-12-21 07:01:00,KL 1351 KLM,Prague (PRG),DEPARTED,Amsterdam,352,660.0
2023-12-21 06:50:00,2023-12-21 06:50:00,KL 1721 KLM,Brussels (BRU),DEPARTED,Amsterdam,381,0.0
2023-12-21 06:55:00,2023-12-21 06:55:00,KL 1925 KLM,Geneva (GVA),CANCELLED,Amsterdam,287,0.0
2023-12-21 06:55:00,2023-12-21 06:55:00,KL 1777 KLM,Hamburg (HAM),DEPARTED,Amsterdam,279,0.0
2023-12-21 06:55:00,2023-12-21 06:55:00,KL 1750 KLM,Amsterdam,BAGGAGE HANDLED,Bremen (BRE),341,0.0
2023-12-21 06:55:00,2023-12-21 06:55:00,KL 1597 KLM,Rome (FCO),DEPARTED,Amsterdam,343,0.0
2023-12-21 06:55:00,2023-12-21 07:07:00,HV 5131 Transavia,Barcelona (BCN),DEPARTED,Amsterdam,286,720.0
2023-12-21 06:55:00,2023-12-21 07:09:00,KL 1105 KLM,Stockholm (ARN),DEPARTED,Amsterdam,359,840.0
2023-12-21 07:00:00,2023-12-21 07:11:00,LO 270 LOT Polish Airlines,Warsaw (WAW),DEPARTED,Amsterdam,310,660.0
2023-12-21 07:00:00,2023-12-21 07:15:00,HV 6867 Transavia,Athens (ATH),DEPARTED,Amsterdam,261,900.0
2023-12-21 07:00:00,2023-12-21 07:11:00,EJU 7983 easyJet Europe,Rovaniemi (RVN),DEPARTED,Amsterdam,347,660.0
2023-12-21 07:00:00,2023-12-21 07:55:00,TP 675 TAP Air Portugal,Lisbon (LIS),DEPARTED,Amsterdam,349,3300.0
2023-12-21 07:00:00,2023-12-21 07:00:00,PC 1256 Pegasus Airlines,Istanbul Sabiha (SAW),DEPARTED,Amsterdam,226,0.0
2023-12-21 07:00:00,2023-12-21 07:45:00,VY 8364 Vueling,Malaga (AGP),DEPARTED,Amsterdam,281,2700.0
2023-12-21 07:00:00,2023-12-21 07:19:00,VY 8308 Vueling,Barcelona (BCN),DEPARTED,Amsterdam,255,1140.0
2023-12-21 07:00:00,2023-12-21 07:24:00,LX 737 Swiss International Airlines,Zurich (ZRH),DEPARTED,Amsterdam,370,1440.0
2023-12-21 07:00:00,2023-12-21 07:32:00,OR 3801 TUI fly,Banjul (BJL),DEPARTED,Amsterdam,225,1920.0
2023-12-21 07:05:00,2023-12-21 07:05:00,KL 1720 KLM,Amsterdam,BAGGAGE HANDLED,Brussels (BRU),258,0.0
2023-12-21 07:05:00,2023-12-21 07:05:00,KL 1852 KLM,Amsterdam,BAGGAGE HANDLED,Dusseldorf (DUS),288,0.0
2023-12-21 07:05:00,2023-12-21 07:05:00,KL 566 KLM,Amsterdam,BAGGAGE HANDLED,Nairobi (NBO),244,0.0
2023-12-21 07:05:00,2023-12-21 07:34:00,BA 423 British Airways,London Heathrow (LHR),DEPARTED,Amsterdam,223,1740.0
2023-12-21 07:05:00,2023-12-21 07:27:00,KL 981 KLM,London City (LCY),DEPARTED,Amsterdam,334,1320.0
2023-12-21 07:05:00,2023-12-21 07:25:00,LH 2311 Lufthansa,Munich (MUC),DEPARTED,Amsterdam,337,1200.0
2023-12-21 07:05:00,2023-12-21 07:25:00,HV 6609 Transavia,Innsbruck (INN),DEPARTED,Amsterdam,331,1200.0
2023-12-21 07:05:00,2023-12-21 07:33:00,OS 378 Austrian Airlines,Vienna (VIE),DEPARTED,Amsterdam,228,1680.0
2023-12-21 07:05:00,2023-12-21 07:05:00,EJU 8672 easyJet Europe,London Gatwick (LGW),DEPARTED,Amsterdam,282,0.0
2023-12-21 07:10:00,2023-12-21 07:43:00,HV 6591 Transavia,Salzburg (SZG),DEPARTED,Amsterdam,265,1980.0
2023-12-21 07:10:00,2023-12-21 07:46:00,HV 5623 Transavia,Palma (PMI),DEPARTED,Amsterdam,278,2160.0
2023-12-21 07:10:00,2023-12-21 07:10:00,KL 692 KLM,Amsterdam,BAGGAGE HANDLED,Toronto (YYZ),255,0.0
2023-12-21 07:10:00,2023-12-21 07:10:00,KL 652 KLM,Amsterdam,CANCELLED,Washington (IAD),382,0.0
2023-12-21 07:10:00,2023-12-21 07:10:00,KL 612 KLM,Amsterdam,BAGGAGE HANDLED,Chicago (ORD),269,0.0
2023-12-21 07:10:00,2023-12-21 07:10:00,KL 423 KLM,Amsterdam,BAGGAGE HANDLED,Riyadh (RUH),253,0.0
2023-12-21 07:15:00,2023-12-21 07:15:00,AZ 119 ITA Airways,Milan Linate (LIN),DEPARTED,Amsterdam,293,0.0
2023-12-21 07:15:00,2023-12-21 07:15:00,EJU 7935 easyJet Europe,Copenhagen (CPH),DEPARTED,Amsterdam,316,0.0
2023-12-21 07:15:00,2023-12-21 07:15:00,HV 6411 Transavia,Naples (NAP),DEPARTED,Amsterdam,293,0.0
2023-12-21 07:15:00,2023-12-21 07:38:00,VY 8352 Vueling,Valencia (VLC),DEPARTED,Amsterdam,308,1380.0
2023-12-21 07:15:00,2023-12-21 07:27:00,EJU 7849 easyJet Europe,Birmingham (BHX),DEPARTED,Amsterdam,357,720.0
2023-12-21 07:15:00,2023-12-21 07:15:00,UA 70 United Airlines,Amsterdam,BAGGAGE HANDLED,Newark (EWR),355,0.0
2023-12-21 07:15:00,2023-12-21 07:15:00,KL 1340 KLM,Amsterdam,BAGGAGE HANDLED,Billund (BLL),315,0.0
