time_sch,time_act,code,dest,stat,orig
19:00,19:00,KL 1460 KLM,Amsterdam,BAGGAGE HANDLED,Nantes (NTE)
19:00,21:04,KL 1758 KLM,Amsterdam,BAGGAGE HANDLED,Bremen (BRE)
19:00,19:00,VY 8367 Vueling,Amsterdam,BAGGAGE HANDLED,Malaga (AGP)
19:05,19:05,KL 1770 KLM,Amsterdam,CANCELLED,Frankfurt (FRA)
19:10,19:27,FR 3102 Ryanair,Amsterdam,BAGGAGE HANDLED,Dublin (DUB)
19:10,19:34,KL 1258 KLM,Amsterdam,BAGGAGE HANDLED,Nice (NCE)
19:10,21:00,KL 1912 KLM,Amsterdam,BAGGAGE HANDLED,Hanover (HAJ)
19:10,20:19,LH 2308 Lufthansa,Amsterdam,BAGGAGE HANDLED,Munich (MUC)
19:10,19:43,LX 734 Swiss International Airlines,Amsterdam,BAGGAGE HANDLED,Zurich (ZRH)
19:15,19:15,BA 8459 British Airways,Amsterdam,BAGGAGE HANDLED,London City (LCY)
19:15,20:54,KL 990 KLM,Amsterdam,BAGGAGE HANDLED,London City (LCY)
19:15,19:15,KL 1190 KLM,Amsterdam,CANCELLED,Bergen (BGO)
19:15,19:45,KL 1268 KLM,Amsterdam,BAGGAGE HANDLED,Marseille (MRS)
19:15,20:18,KL 1490 KLM,Amsterdam,BAGGAGE HANDLED,Humberside (HUY)
19:15,19:15,KL 1592 KLM,Amsterdam,BAGGAGE HANDLED,Bologna (BLQ)
19:15,19:15,KL 1798 KLM,Amsterdam,CANCELLED,Munich (MUC)
19:15,19:49,KL 1932 KLM,Amsterdam,BAGGAGE HANDLED,Geneva (GVA)
19:15,19:59,KL 1962 KLM,Amsterdam,BAGGAGE HANDLED,Zurich (ZRH)
19:15,20:38,KL 1978 KLM,Amsterdam,BAGGAGE HANDLED,Budapest (BUD)
19:15,21:15,OS 375 Austrian Airlines,Amsterdam,BAGGAGE HANDLED,Vienna (VIE)
19:25,20:06,EW 2180 Eurowings,Amsterdam,BAGGAGE HANDLED,Stuttgart (STR)
19:25,19:25,KL 1022 KLM,Amsterdam,BAGGAGE HANDLED,London Heathrow (LHR)
