time_sch,time_act,code,dest,stat,orig
06:00,06:00,HV 5315 Transavia,Larnaca (LCA),DEPARTED,Amsterdam
06:30,06:30,HV 6411 Transavia,Naples (NAP),DEPARTED,Amsterdam
06:30,07:04,HV 6901 Transavia,Dubai International (DXB),DEPARTED,Amsterdam
06:40,06:55,HV 5951 Transavia,Lisbon (LIS),DEPARTED,Amsterdam
06:40,06:40,HV 6331 Transavia,Valencia (VLC),DEPARTED,Amsterdam
06:45,06:45,KL 1141 KLM,Oslo (OSL),DEPARTED,Amsterdam
06:45,06:45,KL 1165 KLM,Helsinki (HEL),DEPARTED,Amsterdam
06:50,07:16,HV 6115 Transavia,Malaga (AGP),DEPARTED,Amsterdam
06:50,07:23,HV 6609 Transavia,Innsbruck (INN),DEPARTED,Amsterdam
06:50,06:50,KL 1223 KLM,Paris de Gaulle (CDG),CANCELLED,Amsterdam
06:50,06:50,KL 1351 KLM,Prague (PRG),DEPARTED,Amsterdam
06:50,06:50,KL 1721 KLM,Brussels (BRU),DEPARTED,Amsterdam
06:50,07:00,KL 1853 KLM,Dusseldorf (DUS),DEPARTED,Amsterdam
06:50,06:50,KL 1953 KLM,Zurich (ZRH),DEPARTED,Amsterdam
06:55,06:55,KL 1105 KLM,Stockholm (ARN),DEPARTED,Amsterdam
06:55,06:55,KL 1777 KLM,Hamburg (HAM),DEPARTED,Amsterdam
07:00,07:00,EJU 7847 easyJet Europe,Bristol (BRS),DEPARTED,Amsterdam
07:00,07:00,HV 5131 Transavia,Barcelona (BCN),DEPARTED,Amsterdam
07:00,07:39,HV 6705 Transavia,Fuerteventura (FUE),DEPARTED,Amsterdam
07:00,07:00,KL 1597 KLM,Rome (FCO),DEPARTED,Amsterdam
07:00,07:00,KL 1925 KLM,Geneva (GVA),DEPARTED,Amsterdam
07:00,07:00,LO 270 LOT Polish Airlines,Warsaw (WAW),DEPARTED,Amsterdam
07:00,07:00,LX 737 Swiss International Airlines,Zurich (ZRH),DEPARTED,Amsterdam
07:00,07:00,TP 675 TAP Air Portugal,Lisbon (LIS),DEPARTED,Amsterdam
07:00,07:00,VY 8308 Vueling,Barcelona (BCN),DEPARTED,Amsterdam
07:05,07:05,AZ 119 ITA Airways,Milan Linate (LIN),DEPARTED,Amsterdam
07:05,07:05,EJU 8672 easyJet Europe,London Gatwick (LGW),DEPARTED,Amsterdam
07:05,08:35,KL 981 KLM,London City (LCY),DEPARTED,Amsterdam
07:05,07:05,LH 2311 Lufthansa,Munich (MUC),DEPARTED,Amsterdam
07:05,07:05,OS 378 Austrian Airlines,Vienna (VIE),DEPARTED,Amsterdam
07:10,07:10,OR 3711 TUI fly,Tenerife (TFS),DEPARTED,Amsterdam
07:15,07:15,EJU 2164 easyJet Europe,Manchester (MAN),DEPARTED,Amsterdam
07:15,07:30,EJU 7939 easyJet Europe,Copenhagen (CPH),DEPARTED,Amsterdam
07:15,07:34,HV 6727 Transavia,Sevilla (SVQ),DEPARTED,Amsterdam
07:15,07:15,VY 8364 Vueling,Malaga (AGP),DEPARTED,Amsterdam
07:20,07:20,KL 1001 KLM,London Heathrow (LHR),DEPARTED,Amsterdam
07:20,07:38,KL 1227 KLM,Paris de Gaulle (CDG),DEPARTED,Amsterdam
07:25,07:25,BA 423 British Airways,London Heathrow (LHR),DEPARTED,Amsterdam
07:25,07:25,LH 1003 Lufthansa,Frankfurt (FRA),DEPARTED,Amsterdam
07:30,07:30,EJU 7865 easyJet Europe,Geneva (GVA),DEPARTED,Amsterdam
07:30,07:30,EJU 7883 easyJet Europe,Tenerife (TFS),DEPARTED,Amsterdam
07:30,07:30,KL 933 KLM,Dublin (DUB),DEPARTED,Amsterdam
07:35,07:35,HV 5753 Transavia,Marrakech (RAK),DEPARTED,Amsterdam
07:40,07:40,EJU 7887 easyJet Europe,Arrecife (ACE),DEPARTED,Amsterdam
07:40,07:50,EJU 7891 easyJet Europe,Las Palmas de Gran Canaria (LPA),DEPARTED,Amsterdam
07:40,07:40,KL 1187 KLM,Bergen (BGO),DEPARTED,Amsterdam
07:40,07:40,KL 1699 KLM,Madrid (MAD),DEPARTED,Amsterdam
07:45,07:45,KL 1125 KLM,Copenhagen (CPH),DEPARTED,Amsterdam
07:45,07:45,KL 1791 KLM,Munich (MUC),DEPARTED,Amsterdam
07:55,07:55,KL 1197 KLM,Stavanger (SVG),DEPARTED,Amsterdam
07:55,07:55,VY 8314 Vueling,Barcelona (BCN),DEPARTED,Amsterdam
08:00,08:00,KL 1441 KLM,Aberdeen (ABZ),DEPARTED,Amsterdam
08:00,08:00,KL 1471 KLM,Glasgow (GLA),DEPARTED,Amsterdam
08:00,08:00,KL 1867 KLM,Stuttgart (STR),DEPARTED,Amsterdam
08:05,08:05,KL 985 KLM,London City (LCY),DEPARTED,Amsterdam
08:05,08:05,KL 1071 KLM,Manchester (MAN),DEPARTED,Amsterdam
08:05,08:05,KL 1153 KLM,Gothenburg (GOT),DEPARTED,Amsterdam
08:05,08:16,KL 1277 KLM,Edinburgh (EDI),DEPARTED,Amsterdam
08:05,08:05,KL 1821 KLM,Berlin Brandenburg (BER),DEPARTED,Amsterdam
08:10,08:10,KL 1229 KLM,Paris de Gaulle (CDG),DEPARTED,Amsterdam
08:10,08:10,OR 3701 TUI fly,Ilha Do Sal (SID),DEPARTED,Amsterdam
08:15,08:15,KL 1049 KLM,Bristol (BRS),DEPARTED,Amsterdam
08:15,08:15,KL 1665 KLM,Barcelona (BCN),DEPARTED,Amsterdam
08:25,08:25,KL 1107 KLM,Stockholm (ARN),DEPARTED,Amsterdam
08:25,08:25,KL 1421 KLM,Birmingham (BHX),DEPARTED,Amsterdam
08:25,08:48,KL 1883 KLM,Nuremberg (NUE),DEPARTED,Amsterdam
08:30,08:30,KL 957 KLM,Newcastle (NCL),CANCELLED,Amsterdam
08:30,08:30,KL 1329 KLM,Aalborg (AAL),DEPARTED,Amsterdam
08:30,08:30,KL 1763 KLM,Frankfurt (FRA),DEPARTED,Amsterdam
08:35,08:35,KL 1007 KLM,London Heathrow (LHR),DEPARTED,Amsterdam
08:35,08:35,KL 1341 KLM,Billund (BLL),DEPARTED,Amsterdam
08:40,08:40,WA 917 KLM Cityhopper,Southampton (SOU),DEPARTED,Amsterdam
08:45,09:22,KL 713 KLM,Paramaribo (PBM),DEPARTED,Amsterdam
08:45,08:45,KL 1693 KLM,Lisbon (LIS),DEPARTED,Amsterdam
08:50,08:50,8R 6769 Amelia,Strasbourg (SXB),DEPARTED,Amsterdam
08:50,08:50,EZS 1222 easyJet Switzerland,Basel (BSL),DEPARTED,Amsterdam
